ch_id,City,OtherName,Country,Latitude,Longitude,Certainty,n_obs
183,Binghamton,New York,United States of America,42.09869,-75.91797,2,1
184,Binh Dinh,Vijaya,Vietnam,14.166256,108.902683,2,6
185,Birmingham,,United Kingdom,52.48142,-1.89983,1,15
186,Birmingham,Alabama,United States of America,33.520661,-86.80249,1,5
187,Bitlis,,Turkey,38.40115,42.10784,1,2
188,Blackburn,,United Kingdom,53.748578,-2.487536,2,5
189,Blackpool,,United Kingdom,53.81667,-3.05,2,1
190,Blagoveshchensk ,Blagovyeshchensk,Russian Federation,50.272776,127.540406,1,1
191,Bobastro,Malaga Province,Spain,36.716667,-4.416667,2,1
192,Bobruysk ,Bobruisk,Belarus,53.15,29.233333,1,1
193,Bogota,"Bacata, Funza, Bogotá",Columbia,4.598056,-74.075833,1,13
194,Bologna,,Italy,44.49381,11.33875,1,28
195,Bolton,,United Kingdom,53.58333,-2.43333,1,5
196,Bonga,,Ethiopia,7.28333,36.23333,2,1
197,Bonn,,Germany,50.73438,7.09548,1,3
198,Bordeaux,,France,44.84044,-0.5805,1,23
199,Borinage,,Belgium,50.617619,3.345133,2,4
200,Bost,"Bust, Lashkar Gah",Afghanistan,31.583056,64.369167,2,2
201,Boston,,United States of America,42.358431,-71.059772,1,11
202,Boulogne,Boulogne-sur-Mer,France,50.7264,1.6147,2,1
203,Bourges,,France,47.08333,2.4,1,11
204,Bournemouth,,United Kingdom,50.72048,-1.8795,1,2
205,Bradford,,United Kingdom,53.79391,-1.75206,2,7
206,Braila,,Romania,45.26667,27.98333,1,1
207,Brandenburg,Bradenburg an der Havel,Germany,52.416667,12.533333,3,1
208,Brasilia,Brasília,Brazil,-15.77972,-47.92972,1,1
209,Brasov ,"Brassov, Brasso",Romania,45.666667,25.616667,2,1
210,Brasov ,Kronstadt,Romania,45.655651,25.6108,1,1
211,Bratislava,"Pozsony, Pressburg",Slovakia,48.145892,17.107136,2,14
212,Braunschweig,Brunswick,Germany,52.268875,10.526769,1,11
213,Bremen,,Germany,53.07516,8.80777,1,18
214,Bremerhaven,,Germany,53.55021,8.57674,1,1
215,Brescia,,Italy,45.52478,10.22727,1,23
216,Brest,Brest-Litovsk,Belarus,52.133333,23.666667,2,1
217,Brest,,France,48.3908,-4.486075,1,7
218,Bridgeport,Connecticut,United States of America,41.1864,-73.1956,3,2
219,Brighton,,United Kingdom,50.822531,-0.137164,2,6
220,Brisbane,,Australia,-27.46794,153.02809,1,4
221,Bristol,,United Kingdom,51.45523,-2.59665,1,16
222,Broach,,India,21.724644,73.002294,3,9
223,Brockton,Massachusetts,United States of America,42.08343,-71.01838,1,1
224,Brugge,Bruges,Belgium,51.210819,3.224936,1,22
225,Brunn,Brno,Austria,49.2,16.6167,2,11
226,Brussel,Brussels,Belgium,50.85045,4.34878,1,25
227,Bucharest,,Romania,44.43225,26.10626,1,17
228,Budapest,,Hungary,47.49801,19.03991,1,21
229,Budaun,,India,28.0362,79.12631,1,1
230,Buenos Aires,,Argentina,-34.61315,-58.37723,1,19
231,Buffalo,,United States of America,42.9047,-78.8494,1,6
232,Bukhara,Bokhara,Uzbekistan,39.765869,64.422347,1,26
233,Burgos,,Spain,42.35,-3.7,1,12
234,Burhanpur,,India,21.30898,76.22996,2,7
235,Burnley,,United Kingdom,53.8,-2.23333,1,1
236,Bursa,Brusa,Turkey,40.19266,29.08403,1,22
237,Bury,,United Kingdom,53.593,-2.298,1,1
238,Busan,Pusan,Republic of Korea,35.179554,129.075642,3,4
239,Bussa,Boussa,Nigeria,10.194264,4.564217,2,2
240,Bydgoszcz,Bromberg,Poland,53.116667,18,3,1
241,Cadiz,,Spain,36.52978,-6.29465,1,13
242,Caen,,France,49.18585,-0.35912,1,21
243,Cagliari,,Italy,39.20738,9.13462,1,1
244,Cahokia,Missouri,United States of America,38.57088,-90.19011,1,2
245,Cairo,"Fostat, Fustat",Egypt,30.06263,31.24967,1,35
246,Cajamarquilla,,Peru,-11.985278,-76.910556,3,1
247,Calais,,France,50.9581,1.85205,1,1
248,Calcutta,Kolkata,India,22.56263,88.36304,1,14
249,Cali,Santiago de Cali,Colombia,3.43722,-76.5225,1,2
250,Calicut,,India,11.258753,75.78041,3,12
251,Caltanissetta,,Italy,37.490112,14.062893,1,1
252,Cambay,,India,22.313114,72.619408,3,17
253,Cambridge,,United Kingdom,52.205,0.119,1,1
254,Campulung Muscel ,,Romania,47.5308,25.5514,1,3
255,Canton,Ohio,United States of America,40.805, -81.375833,2,1
256,Cape Town,,South Africa,-33.92584,18.42322,1,4
257,Cap-Haitien,"Cap Francois, Cap-Haïtien  ",Haiti,19.756219,-72.199669,1,2
258,Capua,,Italy,41.09971,14.22013,1,1
259,Caracas,,Venezuela,10.48801,-66.87919,1,12
260,Cardiff,,Wales,51.481581,-3.17909,1,4
